場所名稱,縣市,鄉/鎮/市/區,村/里,大道/路/街/地區,段,巷/弄/衖,號,樓（之~）,電話,開放時間,注意事項,設置依據
臺北市立松山幼兒園,臺北市,松山區,精忠里,敦化北路,,199巷,5,2,02-2715-3544轉 15,週一至週五 08:30~17:30,,依法設置
臺北市立圖書館民生分館,臺北市,松山區,精忠里,敦化北路,,199巷,5,4,02-2713-8083,週二至週六 08:30~21:00,,依法設置
臺北田徑場,臺北市,松山區,美仁里,敦化北路,,,3,,02-2570-2330轉 6520,週一至週五 08:00~17:00,,依法設置
微風置地股份有限公司南京分公司,臺北市,松山區,中正里,南京東路,3,,337,,02-6600-0999轉 3528,週一至週日 11:00~22:00,,依法設置
臺北市松山區公所,臺北市,松山區,慈祐里,八德路,4,,692,7,02-8787-8787轉 166,週一至週五 08:30~17:30,,依法設置
臺北市松山運動中心,臺北市,松山區,美仁里,敦化北路,,,1,,02-6617-6789轉 215,週一至週日 06:00~22:00,,依法設置
臺北市立圖書館中崙分館,臺北市,松山區,中正里,長安東路,2,,229,7,02-8773-6858,"1.週二至週六 08:30~21:00
2.週日、週一 09:00~17:00","1.需先至服務台登記。
2.經政府公告之放假日為休館日；每月第一個星期四為圖書整理清潔日，不對外開放。",依法設置
臺北大眾捷運股份有限公司-南京復興站,臺北市,松山區,中正里,南京東路,3,,253,,02-25505600轉5182,週一至週日 06:00~22:00,,依法設置
臺北市松山親子館,臺北市,松山區,三民里,民生東路,5,,163-1,3,02-2766-12665轉 108,"1.週二至週五 09:30~12:00；14:00~17:00
2.週六、週日 09:30~11:00；13:00~14:30；15:30~17:00",,依法設置
兄弟大飯店,臺北市,松山區,中正里,南京東路,3,,255,,02-2712-3456,週一至週日 09:00-21:00,,依法設置
CITYLINK-松山貳號店(潤泰百益股份有限公司),臺北市,松山區,慈祐里,市民大道,6,,131,,02-2528-1115,週一至週日 11:00-22:00,,依法設置
臺北市政府警察局保安警察大隊,臺北市,松山區,介壽里,延壽街,,,339,1,02-2762-9228,24小時開放,,依法設置
臺北市松山南港婦女支持培力中心,臺北市,松山區,安平里,南京東路,5,251巷46弄,5,7,02-2768-5256,"週二至週六 9:00~18:00
週三13:00~21:00",,依法設置
臺北市藝文推廣處,臺北市,松山區,敦化里,八德路,3,,25,,02-25775931轉351,週二至週日09:00~17:00,,依法設置
臺北市藝文推廣處-城市舞台,臺北市,松山區,敦化里,八德路,3,,25,,02-25775931轉2104,節目演出時間開放,,依法設置
三軍總醫院松山分院附設民眾診療服務處,臺北市,松山區,龍田里,健康路,,,131,,02-27642151轉672715,週一至週五08:00~21:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國際線2樓外候機室,02-87703424,週一至週日 05:30~22:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國際線1樓內候機室行李提領旁,02-87703424,週一至週日 05:30~22:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國內線1樓外候機室行李託運旁,02-87703424,週一至週日 05:30~22:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國內線1樓內候機室安檢查驗旁,02-87703424,週一至週日 05:30~22:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國內線2樓內候機室10號登機門前,02-87703424,週一至週日 05:30~22:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國際線2樓內候機室昇恆昌賣店旁,02-87703424,週一至週日 05:30~22:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國際線2樓國際線入境廊道,02-87703424,週一至週日 05:30~22:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國內線1樓外候機室廁所旁,02-87703424,週一至週日05:30~22:30,,依法設置
交通部民用航空局臺北國際航空站,臺北市,松山區,精忠里,敦化北路,,,340,國際線行李轉盤旁,02-87703424,週一至週日05:30~22:30,,依法設置
臺北市政府(第一哺集乳室)(公管處),臺北市,信義區,西村里,市府路,,,1號,1樓,02-27208889轉8640,週一至週五 8:30-17:30,自行前往哺集乳室，並登記,依法設置
臺北市政府(第二哺集乳室)(公管處),臺北市,信義區,西村里,市府路,,,1號,1樓,02-27208889轉8640,週一至週五 8:30-17:30,自行前往哺集乳室，並登記,依法設置
臺北市議會,臺北市,信義區,興隆里,仁愛路,4段,,507號,1樓,02-27297708轉4202,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北市信義區健康服務中心,臺北市,信義區,大仁里,福德街,,,86號,11樓,02-27234598轉6171,週一至週五 8:30-17:30,自行前往哺集乳室，並登記,依法設置
臺北市信義區公所,臺北市,信義區,大仁里,福德街,,,86號,9樓,02-27239777轉706,週一至週五 8:30-17:30,自行前往哺集乳室，並登記,依法設置
臺北市信義區公所,臺北市,信義區,大仁里,福德街,,,86號,10樓,02-27239777轉707,週一至週五 8:30-17:30,自行前往哺集乳室，並登記,依法設置
臺北市信義區戶政事務所,臺北市,信義區,大仁里,福德街,,,86號,6樓,02-27233977轉303,週一至週五 8:30-17:30,自行前往哺集乳室，並登記,依法設置
臺北市松山地政事務所,臺北市,信義區,三張里,莊敬路,,391巷11弄,2號,1樓,02-27230711轉405.406,週一至週五 8:30-17:00,自行前往哺集乳室，並登記,依法設置
臺北市動物保護處,臺北市,信義區,泰和里,吳興街,,600巷,109號,1樓,02-87897158轉7155,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北市政府警察局婦幼警察隊,臺北市,信義區,景新里,信義路,5段,,108號,1樓,02-27592398轉1607,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
中國青年救國團臺北市信義運動中心,臺北市,信義區,三張里,松勤街,,,100號,1樓,02-87861911轉238,週一至週五  8:00-17:00,自行前往哺集乳室，並登記,依法設置
行政院公共工程委員會,臺北市,信義區,興雅里,松仁路,,,3號,9樓,02-87897771,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
國軍退除役官兵輔導委員會,臺北市,信義區,廣居里,忠孝東路,5段,,222號,6樓,02-27571373轉785,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
內政部警政署刑事警察局,臺北市,信義區,新仁里,忠孝東路,4段,553巷,5號,B1樓,"02-23219011轉7254574
02-27678020",週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北世界貿易中心展覽大樓(世貿一館),臺北市,信義區,西村里,信義路,5段,,5號,3樓,02-27255200轉2668,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北世界貿易中心展覽大樓(世貿一館),臺北市,信義區,西村里,信義路,5段,,5號,1樓,02-27255200轉2268,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北市立聯合醫院松德院區,臺北市,信義區,三犁里,松德路,,,309號,1樓,02-27263141轉1139,週一至週日 全日24小時開放,自行前往哺集乳室，並登記,依法設置
交通部臺灣鐵路管理局松山車站,臺北市,信義區,永吉里,松山路,,,11號,B1樓(站內),"02-27666323轉8303
2767-3819",週一至週日 全日24小時開放,自行前往旅客詢問處拿鑰匙，並登記,依法設置
交通部臺灣鐵路管理局松山車站,臺北市,信義區,永吉里,松山路,,,11號,B1樓(站外),"02-27666323轉8303
2767-3819",週一至週日 全日24小時開放,自行前往旅客詢問處拿鑰匙，並登記,依法設置
新光三越百貨股份有限公司信義二館,臺北市,信義區,西村里,松高路,,,12號,A8_4F樓,02-87809966轉6409/6410,週一至週五  11:00-21:30 週六、週日  11:00-22:00,自行前往哺集乳室，並登記,依法設置
新光三越百貨股份有限公司信義分公司A11館,臺北市,信義區,西村里,松壽路,,,11號,A11_6F樓,02-87801000轉2309,週一至週五 11:00-21:30 週六、週日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
臺北市政府警察局信義分局,臺北市,信義區,景新里,信義路,5段,,17號,1樓,02-27234887,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
統一開發股份有限公司,臺北市,信義區,興雅里,忠孝東路,5段,,6號,1樓,02-27221166轉6003,週一至週日 06:00-23:00,自行前往哺集乳室，並登記,依法設置
新光三越百貨股份有限公司信義三館,臺北市,信義區,西村里,松壽路,,,9號,A9_3樓,02-87801000轉7309,週一至週五 11:00-21:30 週六、週日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
台北金融大樓股份有限公司,臺北市,信義區,西村里,市府路,,,45號,4樓,"81019060
0912462588",週一至週五 11:00-21:30 週六、日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
台北金融大樓股份有限公司,臺北市,信義區,西村里,市府路,,,45號,B1樓,"81019060
0912462588",週一至週五 11:00-21:30 週六、日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
寶麗廣場BELLAVITA,臺北市,信義區,興雅里,松仁路,,,28號,3樓,"02-87292802
0922499928",週一至週五 10:30-22:00 週六、日 10:30-22:30,自行前往哺集乳室，並登記,依法設置
統一百華股份有限公司台北分公司,臺北市,信義區,興雅里,忠孝東路,5段,,8號,5樓,02-27299699轉2331,週日至週四 11:00~21:30 週五至週六 11:00~22:00,自行前往哺集乳室，並登記,依法設置
遠百企業股份有限公司忠孝店,臺北市,信義區,富台里,忠孝東路,5段,,297號,B1樓,"02-25289388轉107或187
0917546867",週一至週日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
松山文創園區,臺北市,信義區,新仁里,光復南路,,,133號,1樓遊客服務中心,02-27651388轉112,週一至週日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
臺北市立信義幼兒園,臺北市,信義區,西村里,基隆路,1段,364巷,24號,1樓,02-27584138轉17,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北市立圖書館永春分館,臺北市,信義區,長春里,松山路,,,294號,3-4樓,02-27609730,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北市立圖書館三興分館,臺北市,信義區,景勤里,吳興街,,156巷,6號,4-5樓,02-87321063,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北市立圖書館六合分館 ,臺北市,信義區,六合里,松仁路,,240巷,19號,3-5樓,02-27292485,週一至週日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
吸引力生活事業股份有限公司 ,臺北市,信義區,西村里,松壽路,,,12號,3樓,02-77375888轉5207,週日至週四 11:00-22:00 週五、六 11:00-23:00,自行前往哺集乳室，並登記,依法設置
吸引力生活事業股份有限公司 ,臺北市,信義區,西村里,松壽路,,,12號,B2樓,02-77375888轉5207,週日至週四 11:00-22:00 週五、六 11:00-23:00,自行前往哺集乳室，並登記,依法設置
威秀影城股份有限公司,臺北市,信義區,西村里,松壽路,,,20號,2樓,"02-87805566轉323
0970221208",週一至週日 10:00-22:00,自行前往哺集乳室，並登記,依法設置
微風置地股份有限公司-微風松高,臺北市,信義區,西村里,松高路,,,16號,3樓,"02-66369959轉3528
0979240674",週日至週三 11:00-21:30 週四至週六 11:00-22:00,自行前往哺集乳室，並登記,依法設置
誠品生活松菸店,臺北市,信義區,新仁里,菸廠路,,,88號,3樓,"02-66365888轉2781
0910564325",週一至週日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
國立國父紀念館,臺北市,信義區,興隆里,仁愛路,4段,,505號,1樓,02-27588008轉561,週一至週日 8:00-20:00,自行前往哺集乳室，並登記,依法設置
信義區親子館,臺北市,信義區,三張里,松勤街,,,50號,1樓,02-27202555轉109,週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
中華民國對外貿易發展協會台北世貿中心展會營運處(台北國際會議中心),臺北市,信義區,西村里,信義路,5段,,1號,6樓,"02-27255200轉3543
0978722122",週一至週五 8:00-17:00,自行前往哺集乳室，並登記,依法設置
時代國際飯店股份有限公司,臺北市,信義區,景新里,信義路,5段,,10號,11樓,02-77038901(專線),週一至週日 全日24小時開放,前往服務台登記,依法設置
微風置地股份有限公司-信義店,臺北市,信義區,興雅里,忠孝東路,5段,,68號,4樓,"02-66366699轉3528
0913353659",週日至週三 11:00-21:30 週四至週六 11:00-22:00,自行前往哺集乳室，並登記,依法設置
新光三越百貨股份有限公司台北信義分公司四館,臺北市,信義區,西村里,松高路,,,19號,A4_3樓,"02-87895599轉8510
0933462614",週一至週五 11:00-21:30 週六、週日11:00-22:00,自行前往哺集乳室，並登記,依法設置
潤泰百益股份有限公司(Citylink松山店),臺北市,信義區,永吉里,松山路,,,11號,3樓,"02-27471000轉305
0920531792",週一至週日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
微風置地股份有限公司-南山分公司,臺北市,信義區,西村里,松智路,,,17號,7樓,"02-66389999轉3528
0937496774",週日至週三 11:00-21:30 週四至週六 11:00-22:00,自行前往哺集乳室，並登記,依法設置
豐隆大飯店股份有限公司(台北君悅酒店),臺北市,信義區,西村里,松壽路,,,2號,1樓,"02-27201200轉3050
0958793697                     ",週一至週日 全日24小時開放,自行前往哺集乳室，並登記,依法設置
寒舍國際酒店股份有限公司(寒舍艾麗酒店),臺北市,信義區,西村里,松高路,,,18號,5樓,02-66318000轉5803,週一至週日 全日24小時開放,自行前往哺集乳室，並登記,依法設置
寒舍餐旅管理顧問股份有限公司-信義分公司(台北寒舍艾美酒店),臺北市,信義區,西村里,松仁路,,,38號,3樓,"02-66225768
0960118771",週一至週日 全日24小時開放,自行前往哺集乳室，並登記,依法設置
遠東百貨股份有限公司,臺北市,信義區,西村里,松仁路,,,58號,5樓,"02-77500888轉8332
",週一至週五 11:00-21:30 週六、週日 11:00-22:00,自行前往哺集乳室，並登記,依法設置
聯合醫院廣慈信義門診部,臺北市,信義區,大道里,大道路,,,116號,1樓,02-87804152,週一至週五 8:30-16:30,自行前往哺集乳室，並登記,依法設置
臺北市立浩然敬老院,臺北市,信義區,大道里,大道路,,,116號,2樓,02-28581081轉320,週一至週五 8:30-17:00,自行前往哺集乳室，並登記,依法設置
臺北市立圖書館廣慈分館,臺北市,信義區,大仁里,福德街,,,86號,5樓,02-27277872,週二至週六 8:30-21:00 週日至週一9:00-17:00,自行前往哺集乳室，並登記,依法設置
臺北市立圖書館總館,臺北市,大安區,新龍里,建國南路,2段,,125號,B1廁所旁,"02-2755-2823#2130
(週二至周六)18:00以後撥分機2104、2105","1.週日、週一09:00-17:00
2.週二至週六08:30-21:00",請向保全或志工登記後使用,依法設置
臺北市政府客家事務委員會,臺北市,大安區,和安里,信義路段,3段,157巷,11號,1樓,02-2702-6141分機320,週一至週五08:00~21:30  週六至週日08:00-17:30,,依法設置
行政院人事行政總處公務人力發展學院,臺北市,大安區,龍坡里,新生南路,3段,,30號,教學棟5樓,02-7712-2323分機2323,週一至週日08:30~17:30,自行前往哺集乳室並登記,依法設置
臺北市立聯合醫院仁愛院區,臺北市,大安區,仁慈里,仁愛路,4段,,10號,2樓兒科門診候診區,02-2709-3600分機3233,"1.週一至週五08:00-17:30
2.週六08:00-12:30","需要使用哺集乳室
請按對講機通知詢問處",依法設置
臺北大眾捷運股份有限公司-忠孝復興站,臺北市,大安區,義村里,忠孝東路,4段,,47號,3樓出口大廳層,02-2550-5600分機6102,週一至週日06:00-24:00,自行前往哺集乳室,依法設置
太平洋崇光百貨股份有限公司忠孝館,臺北市,大安區,光武里,忠孝東路,4段,,45號,5樓ThanQ Club內,02-2776-5555分機 1652、1653,週一至週日11:00-21:30,,依法設置
臺北市大安運動中心,臺北市,大安區,臥龍里,辛亥路,3段,,55號,1樓棋藝閱覽室,2377-0300分機405,週一至週日06:00~22:00,,依法設置
明曜百貨股份有限公司,臺北市,大安區,建倫里,忠孝東路,4段,,200號,7樓東側樓梯間,02-2777-1266分機315,"1.週日至週四11:00-21:30
2.週五、週六11:00-22:00
(國定假日前一天11:00-22:00)",,依法設置
臺灣電力公司台北市區營業處,臺北市,大安區,學府里,基隆路,4段,,75號,1樓業務大樓營業大廳內,2378-8111分機5832,週一至週五08:00-17:00,,依法設置
臺北市大安區公所,臺北市,大安區,龍安里,新生南路,2段,,86號,9樓,02-2351-1711分機9207,週一至週五08:30-17:30,,依法設置
臺北市立大安幼兒園,臺北市,大安區,群英里,四維路,,198巷/31弄,11號,1樓多功能教室,02-2755-1211分機15,週一至週五08:00-16:30,,依法設置
臺北市大安區健康服務中心,臺北市,大安區,臥龍里,辛亥路,3段,,15號,1樓藥局旁,02-2733-5831分機6253,週一至週五08:00-17:30,,依法設置
中華民國交通部觀光署,臺北市,大安區,正聲里,忠孝東路,4段,,290號,9樓,02-2349-1500分機8652,週一至週五08:00-17:30,,依法設置
臺北市政府警察局大安分局,臺北市,大安區,民炤里,仁愛路,3段,,2號,1樓,02-2325-5821,每日24小時開放,,依法設置
臺灣銀行信義分行,臺北市,大安區,光明里,信義路,2段,,88號,地下1樓,02-2351-5486分機255,週一至週五09:00-15:30,自行前往哺集乳室，並按壓對講機通知站務人員協助開門。,依法設置
臺北大眾捷運股份有限公司-忠孝新生站,臺北市,大安區,民輝里,新生南路,1段,,67號,地下1樓,02-2181-2345,週一至週日06:00-24:00,自行前往哺集乳室,依法設置
遠企購物中心,臺北市,大安區,全安里,忠孝東路,3段,,300號,4樓西側電梯旁,2378-6666分機6666,"週日至週四11:00~21:30
週五至週六11:00~22:00",自行前往哺集乳室，並登記,依法設置
臺灣銀行信安分行,臺北市,大安區,龍圖里,敦化南路,2段,,203號,4樓電梯右轉到底,02-2705-7905分機302,週一至週五09:00-17:00,,依法設置
財政部臺北市國稅局大安分局,臺北市,大安區,龍安里,信義路,3段,,132號,3樓,02-2358-7979分機319,週一至週五08:30-17:30,先至2樓櫃檯登記後方可使用。,依法設置
臺北市立圖書館龍安民眾閱覽室,臺北市,大安區,錦安里,新生南路,2段,,86號,4樓,02-2394-5485,"週日至週一09:00~17:00
週二至週六08:30-21:00
(每月第一個週四閉館不開放)","請洽服務檯登記,館員帶領前往",依法設置
臺北市立圖書館道藩分館,臺北市,大安區,臥龍里,辛亥路,3段,,11號,3樓,27334031分機9,"1.週日至週一09:00-17:00
2.週二至週六08:30-21:00",,依法設置
國家教育研究院臺北院區,臺北市,大安區,龍安里,和平東路,1段,,179號,2樓,7740-7628,週一至週五08:00-17:00,,依法設置
土地銀行和平分行,臺北市,大安區,群賢里,和平東路,3段,,15號,1樓,02-2705-7505分機303,週一至週五09:00-15:30,自行前往哺集乳室，並登記,依法設置
太平洋崇光百貨股份有限公司敦化館,臺北市,大安區,仁愛里,敦化南路,1段,,246號,2樓電梯入口,02-2776-5555分機2867,"週日至週四11:00~21:30
週五至週六11:00~22:00
國定假日前1天11:00-22:00",,依法設置
建南區民活動中心,臺北市,大安區,新龍里,信義路,3段,134巷,82號,2樓,02-2351-1711分機8205,週一至週五08:00-17:00,,依法設置
臺北市辛亥非營利幼兒園,臺北市,大安區,臥龍里,辛亥路,3段,,11號,1樓教師辦公室內,02-2732-2374,週一至週五08:30-18:30,,依法設置
臺北市正義非營利幼兒園,臺北市,大安區,義村里,忠孝東路,3段,216巷/4弄,41號,1樓,02-2772-6656,週一至週五07:30-18:30,,依法設置
臺北大眾捷運股份有限公司-東門站,臺北市,大安區,永康里,信義路,2段,,166號,B1層東側非付費區大廳近出口6、7、8,02-2181-2345,週一至週日06:00-24:00,前往詢問處，由車站值班人員協助帶領進入，並引導使用QR Code線上填寫使用登記表。,依法設置
臺北大眾捷運股份有限公司-大安站,臺北市,大安區,龍圖里,信義路,3段,,180號,地下1樓捷運信義線大安站付費區男廁旁,02-2181-2345,週一至週日06:00-24:00,洽詢問處開啟哺集乳室,依法設置
鼎鼎大飯店股份有限公司台北遠東國際大飯店,臺北市,大安區,全安里,敦化南路,2段,,201號,地下1樓Meeting Room,"(02)2378-8888
(02)7700-3269",週一至週日09:00-17:00,,依法設置
臺北福華大飯店,臺北市,大安區,和安里,仁愛路,3段,,160號,4樓健身中心內,02-2700-2323分機2025,週一至週日06:30-22:00,,依法設置
臺北和平籃球館(東),臺北市,大安區,臥龍里,敦南街,,76巷,28號,2樓,"02-6617-0101分機1600
02-2377-0300分機405",活動期間或覽館租借期間,,依法設置
臺北和平籃球館(北),臺北市,大安區,臥龍里,敦南街,,76巷,28號,2樓,02-6617-0101分機1600 02-2377-0300分機405,活動期間或覽館租借期間,,依法設置
國聯觀光大飯店,臺北市,大安區,華聲里,光復南路,,,200號,18樓健身中心內,02-2733-1515分機103,週一至週日07:30-22:00,,依法設置
福容大飯店台北一館,臺北市,大安區,民炤里,建國南路,1段,,266號,3樓俱樂部內,02-2701-9266分機31,週一至週日07:00-21:00,,依法設置
臺灣當代文化實驗場,臺北市,大安區,義村里,建國南路,1段,,177號,1樓,02-8773-5087分機 224、225,"週二至週日09:00-18:00
(星期一休館)",,依法設置
新光三越百貨股份有限公司台北忠孝分公司,臺北市,大安區,義村里,忠孝東路,3段,,268號,2樓,02-2721-6688分機6090,"週日至週四11:00-21:30
週五至週六11:00-22:00",,依法設置
經濟部產業發展署,臺北市,大安區,民炤里,信義路,3段,,41之3號,1樓,02-2754-1255轉分機3115,週一至週五09:00-17:00,,依法設置
臺北市懷愛館,臺北市,大安區,學府里,辛亥路,3段,,330號,地下2樓,02-8732-9686分機29751,週一至週日07:00-22:00,,依法設置
臺北市懷愛館,臺北市,大安區,學府里,辛亥路,,,330號,4樓,02-8732-9686分機29751,週一至週日07:00-22:00,,依法設置
太平洋崇光百貨股份有限公司復興分公司,臺北市,大安區,義村里,忠孝東路,3段,,300號,5樓,02-2776-5555分機3324,"週日至週四11:00-21:30
週五至週六11:00-22:00",,依法設置
臺北市中山地政事務所,臺北市,中山區,行政里,松江路,,357巷,1號,2樓,02-25022881轉403,週一至週五 08:30~17:30,自行前往哺集乳室，並登記,依法設置
臺北市立美術館,臺北市,中山區,圓山里,中山北路,3段,,181號,地下室1樓,02-25957656轉515,"週二至週日 9:30~15:30 
周六9:30~20:30",自行前往哺集乳室，並登記,依法設置
臺北市政府警察局中山分局,臺北市,中山區,康樂里,中山北路,2段,,1號,10樓  ,02-25362459,全日24小時開放,自行前往哺集乳室，並登記,依法設置
臺灣菸酒股份有限公司台北啤酒工場  ,臺北市,中山區,朱園里,八德路,2段,,85號,1樓,02-27719131轉430、341,全日24小時開放,自行前往哺集乳室，並登記,依法設置
臺北市立聯合醫院 林森中醫院區,臺北市,中山區,恆安里,林森北路,,,530號,3樓 ,02-25916681轉1320,全日24小時開放,自行前往哺集乳室，並登記,依法設置
臺北市立育航幼稚園,臺北市,中山區,復華里,長春路,,,256號,3樓,02-25178372轉213,週一至週五 07:30~18:30,自行前往哺集乳室，並登記,依法設置
新光三越百貨股份有限公司臺北南西分公司,臺北市,中山區,民安里,南京西路,,,12號,6樓,02-25682868轉3617、3508,"週日至週四 11:00~21:30
週五、週六及例假日前一天 11:00~22:00",自行前往哺集乳室，並登記,依法設置
美麗華城市發展股份有限公司,臺北市,中山區,金泰里,敬業三路,,,20號,4樓,02-21753456轉2231,週一至週日      11:00-22:00,自行前往哺集乳室，並登記,依法設置
財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店,臺北市,中山區,劍潭里,中山北路,4段,,1號,V樓,02-28861818轉1610,全日24小時開放,自行前往哺集乳室，並登記,依法設置
教育部體育署,臺北市,中山區,力行里,朱崙街,,,20號,1樓,02-87711904,週一至週五 08:30~17:30,自行前往哺集乳室，並登記,依法設置
中國青年救國團臺北市中山運動中心,臺北市,中山區,民安里,中山北路,2段,44巷,2號,1樓,02-25811060轉221,週一至週日 06:00~22:00,自行前往哺集乳室，並登記,依法設置
潤泰創新國際股份有限公司中崙分公司,臺北市,中山區,埤頭里,八德路,2段,,306號,地下室1樓,"02-27790006轉501
02-27790006轉555 ",週一至週日  08:30~23:00,自行前往哺集乳室，並登記,依法設置
臺北市立中山幼兒園,臺北市,中山區,大直里,大直街,,,25號,1樓,02-25336738,週一至週五 07:30~18:30,自行前往哺集乳室，並登記,依法設置
臺北市立圖書館大直分館,臺北市,中山區,大直里,大直街25號,,,25號,3樓,02-25336535,"週二至週六 08:30~21:00
週日至週一 09:00~17:00",自行前往哺集乳室，並登記,依法設置
臺北市立圖書館恆安閱覽室,臺北市,中山區,恆安里,民權東路,1段,71巷,19號,2樓,02-25935482,"週二至週六 08:30~21:00
週日、週一 09:00~17:00",自行前往哺集乳室，並登記,依法設置
臺北市立圖書館中山分館,臺北市,中山區,行政里,松江路,,,367號,8樓,02-25026442,"週二至週六 08:30~21:00
週日、週一 09:00~17:00",自行前往哺集乳室，並登記,依法設置
全越運動事業股份有限公司(臺北市政府體育局委外),臺北市,中山區,行仁里,建國北路,3段,,39號,2樓,02-25172371,週二至週日 9:00~17:00,自行前往哺集乳室，並登記,依法設置
中山老人住宅暨服務中心,臺北市,中山區,中原里,新生北路,2段,101巷,2號,1樓,02-25420006轉338,週一至週日  09:00~17:00,自行前往哺集乳室，並登記,依法設置
