場所名稱,縣市,鄉/鎮/市/區,村/里,大道/路/街/地區,段,巷/弄/衖,號,樓（之~）,電話,開放時間,注意事項,設置依據
亞洲航空(股)公司,台南市,仁德區,仁愛里,機場路,,,907號,,06-2681911#2666 張小姐,08:00-17:00(僅提供員工使用),,自願設置
亞洲航空公司,台南市,南區, 大恩里,機場路,,,907號,,06-2681911,8:00-17:00請洽警衛,,自願設置
佳里中山市場,台南市,佳里區,,中山路,, ,300號,,06-7217413,週二至週日07:30~11:30,,自願設置
佳里奇美醫院,台南市,佳里區,佳興里,佳里興,,,606號,,"06-7263333
#32010曾小姐",24小時,,自願設置
佳里區衛生所,台南市,佳里區,,進學路,,,159號,,06-7224106,8:00-17:30,,自願設置
佳里國小,台南市,佳里區,,公園路,,,445號,,"06-7222031#725
","週一至週五08:00~16:00
(僅提供員工使用)",,自願設置
佳湘食品有限公司,台南市,西港區,慶安里, ,,,中州26之12號,,06-7963268,週一至週五08:00-17:00(僅供員工使用),,自願設置
和明織品文化館,台南市,七股區,大埕里, , ,大埕,189號,,06-7875288,週三至週日09:00~18:00,,自願設置
坤成實業廠股份有限公司,台南市,仁德區,仁義里,中山路,,,113號,,06-2495511,08:00-17:00(僅週一至週五提供，例假日無)僅供廠區員工使用,,自願設置
奇美食品幸福工廠,台南市,仁德區,仁愛里,機場路,,,1008號,,06-2698588,9:00-17:00(週二至週日),,自願設置
奇美醫療財團法人醫院奇美醫院,台南市,永康區,甲頂里,中華路,,,901號,,06-2812811#53286,24小時,,自願設置
奇美醫療財團法人醫院柳營奇美醫院,台南市,柳營區,太康里, ,,,201號,,06-6226999#73431 嬰兒室,24小時,,自願設置
官田區衛生所,台南市,官田區,隆田里,中山路,1段,,128號,,06-5791493,週一至週五8:00-17:30,,自願設置
官田國中 ,台南市,官田區,,三民路, ,,29號,,06-5791371轉151,週一至週五08:00~16:00 (僅供員工使用),,自願設置
岱稜科技股份有限公司,台南市,麻豆區,麻口里,,,,1-13號,,06-5703853#1199 林小姐,僅供廠區員工使用:24小時開放,,自願設置
忠孝國中 ,台南市,東區,,崇善路, ,,151號,,06-2670495,週一至週五08:00~16:00僅供員工使用,,自願設置
明德外役監獄,台南市,山上區,玉峰里,明德山莊,,,1號,,06-5784316方小姐,週一到週五8:00-17:00(例假日休假，僅提供員工及接見家屬使用),,自願設置
東山區衛生所,台南市,東山區,東山里,,,,236號,,06-6802618,8:00-17:30,,自願設置
東和蜂業有限公司,台南市,東山區,東正里,,,,1-18號,,06-6800231,9:30-17:30(週三休館),,自願設置
東南地政事務所,台南市,東區,龍山里,林森路,1段,,318號,,06-2680595,週一至週五8:00-17:30,,自願設置
東原國民中學,台南市,東山區,東原里,瓦厝,,,70號,,06-6861009#106,週一至週五07:30~17:00(僅提供 員工使用),,自願設置
東區區公所,台南市,東區,崇信里,崇學路,,,100,,06-2680622,週一至週五8:00-17:30(僅上班日提供),,自願設置
武德殿,台南市,新化區,東榮里,和平街,,,53號,,06-5902192,"週二至週日09:00~12:00、13:30~17:00
(使用者需先至武德殿內找工作人員拿鑰匙)",,自願設置
法務部矯正署臺南看守所,台南市,歸仁區,武東里,明德新村,,,2號,,06-2780194,對外開放：08:00-17:30(僅提供上班時段),,自願設置
法務部矯正署臺南第二監獄,台南市,六甲區,甲東里,曾文街,,,161號,,06-6987797轉171邱先生,週一至週五08:00~18:00,,自願設置
直得科技股份有限公司,台南市,新市區,豐華里,大利一路,,,3號,,06-5055858#244  沈小姐,24小時開放；僅供廠區員工使用,,自願設置
長宏人力仲介台南分公司,台南市,永康區,,永科環路,,,385號,,06-2329999,週一至週五08:00~17:00(僅提供員工使用),,自願設置
長榮女中,台南市,東區,,長榮路,二段 ,,135號,,06-2740381,週一至週五08:00~17:00僅供員工使用 (若有活動，外賓也可使用),,自願設置
青山國小,台南市,東山區,青山里,,,,16號,,06-6861041,週一至週五08:00~16:00(僅供員工使用),,自願設置
信一骨科醫院,台南市,新營區,,民生路,,,43之26號, ,06-6350035,洽詢服務人員,,自願設置
南元花園休閒農場,台南市,柳營區,果毅里,南湖,,,25號,,06-6990726,24小時(僅提供員工及顧客使用),,自願設置
南化區衛生所,台南市,南化區,南化里,,,,226-1,,06-5771139,周一至周五8:00-17:30,,自願設置
南化遊客中心,台南市,南化區,西埔里,西埔,,,1-3號,,06-5771046,週一至週日9:00-17:00,,自願設置
南光化學製藥股份有限公司,台南市,新化區,全興里,中山路,,,1001號,,06-5984121#2234廠護,24小時開放；僅供員工及洽公人員使用,,自願設置
南茂科技股份有限公司,台南市,新市區,豐華里,南科七路,,,5號,,06-5052388#7854,24小時開放；僅供廠區員工使用,,自願設置
南區水資源局,台南市,楠西區,密枝里,,,,70號,,06-5753251-9,週一至週五8:00-17:00(國定假日及例假日休假),,自願設置
南區衛生所,台南市,南區,南都里,南和路,,,6號,,06-2618578,8:00-12:00；13:30-17:30,,自願設置
南臺科技大學,台南市,永康區,尚頂里,南台街,,,1號,,06-2533131#2230,週一至週五8:00-17:30僅供員工及學員使用(週六日及例假日未開放),,自願設置
威爾森幼兒園,台南市,佳里區,安西里,安西,,,49-41號,,06-7215811,週一至週五(上班時間)僅供員工使用,,自願設置
後壁戶政事務所,台南市,後壁區,後壁里,,, ,6號,,06-6872859,週一至週五08:00~17:30,,自願設置
後壁區衛生所,台南市,後壁區,後壁里,,,,3號,,06-6872624,8:00-17:30,,自願設置
恆大股份有限公司(白河製造廠),台南市,白河區,昇安里,中山路,,,526號,,6852364#269沈小姐,週一到週五8:00-17:00(例假日休假，僅提供員工使用),,自願設置
柳營區衛生所,台南市,柳營區,士林里,,,,54-5號,,06-6220464,8:00-17:30,,自願設置
柳營荷蘭村,台南市,柳營區,神農里,新厝,,,100號,,06-6231896,每天09:00~17:00請洽服務台,,自願設置
皇田工業股份有限公司,台南市,永康區,王行里,永科五路,,,6號,,06-2331088,週一至週五08:00~17:30(僅提供員工使用),,自願設置
美雅家具有限公司,台南市,白河區,馬稠後里, 甘宅,,,101-1號,,06-6817316,"平日:9:00-17:00；週一週二休館
假日:9:00-18:00",,自願設置
苓和國民小學,台南市,將軍區,苓仔寮里,苓和,,,132號,,06-7942031#13總務主任,星期一~五0800-1600僅供員工使用,,自願設置
茂迪股份有限公司園區分公司二廠(每廠2間),台南市,新市區,,大順九路,,,2號,,06-5050789#2003  蔡小姐,24小時開放(供員工訪客使用),,自願設置
茂迪股份有限公司園區分公司五廠(每廠2間),台南市,新市區,,大順九路,,,18號,,06-5050789#2003  蔡小姐,24小時開放(供員工訪客使用),,自願設置
茂琦實業有限公司,台南市,歸仁區,六甲里,六甲路,,,426號,,06-3387168#706,週一至週五(上班時間)僅供員工使用,,自願設置
茄拔國小,台南市,善化區,嘉北里,,,,280號,,06 5837031#719 江小姐,週一至週五07:40~16:00僅供員工及家屬及研習老師使用,,自願設置
飛宏科技股份有限公司(台南廠),台南市,永康區,,正南一街,,,99號,,06-2547588,週一至週五08:00~17:30(僅提供員工使用),,自願設置
消防局第七大隊東門分隊,台南市,東區,,林森路,1段,,320號,,06-3353860,週一至週日08:00~22:00(員工及民眾皆可使用，若有急需仍會開放),,自願設置
益通光能科技股份有限公司,台南市,安南區,塩田里,本田路,2段,,498號,,06-3840777#2842  吳小姐,24小時開放；僅供廠區員工使用,,自願設置
馬博榮婦產專科診所,台南市,佳里區,六安里,佳北路,,,1號,,06-7236110,週一至週五(上班時間)僅供員工使用,,自願設置
國立台南大學附屬高級中學,台南市,永康區,,中山南路,,,948號,,06 2338501 #406,週一至週五07:40~16:30(員工向總務室拿鑰匙),,自願設置
國立成功大學光復校區,台南市,東區,大學里,大學路,,,1號,,06-2757575,"國際會議廳(每週一至週日:08:30~17:00，18:30 ~21:00)，服務對象為本校教職員工生及參訪本校人士。
請向管理員室(54973、54971)借用，或參加活動報名時線上預約使用。",,自願設置
國立臺南大學,台南市,中西區,郡王里,樹林街,2段,,33號,,06-2133111#153黃秘書,週一至週五8:00-18:00僅供員工使用,,自願設置
國立臺南第二高級中學,台南市,北區,,北門路,二段,,125號,,06-2514526#409,週一至週五 08:00~17:30(僅供員工使用),,自願設置
國泰人壽保險股份有限公司台南行政中心,台南市,中西區,仙草里,西門路,1段,,496號,,07-9732900*879950 鄭小姐,上班日:8:30-17:30,,自願設置
將軍區衛生所,台南市,將軍區,忠嘉里,忠興,,,185-6號,,06-7942007,8:00-17:30,,自願設置
將軍國小,台南市,將軍區,將軍里,將貴,,,58號,,06-7942034,週一至週五07:40~16:00 (僅供員工使用),,自願設置
將軍國中,台南市,將軍區,忠嘉里,昌平,,,1-1號,,06-7942042,週一至週五08:00~16:30(僅供員工及研習老師使用),,自願設置
崇和國小,台南市,關廟區,,南雄南路,,,568號,,06-5551040,週一至週五07:00~16:00(僅供員工使用),,自願設置
崑山科技大學,台南市,永康區,崑山里,崑大路,,,195號,,06-2727175#233,週一至週五8:00-17:00 僅供員工使用(週六日及例假日未開放),,自願設置
康那香觀光工廠,台南市,將軍區,將軍里,三吉,,,66之1號,,06-7941573#5000,週一至週五(08:00-17:00)請洽服務台,,自願設置
徠。歸仁飯店,台南市,歸仁區,,中山路,三段,,455號,,06-7007999,洽服務台人員,,自願設置
敏惠醫護管理專科學校,台南市,柳營區,東昇里,中山東路,二段,,1116號,,06-6226111#399吳小姐,週一至週五08:00~17:00(寒暑假僅提供到16:00)僅供員工使用,,自願設置
梁鑫實業股份有限公司,台南市,西港區,西港里,中山路,,,466號,,06-7961929#614,週一至週五08:00-17:30(僅供員工使用),,自願設置
深坑國小,台南市,關廟區,,南雄路,一段,,487號,,06-5952409,週一至週五07:30~17:00僅供員工使用,,自願設置
淺草商圈(淺草新天地),台南市,中西區,,國華街,三段,,26號,,06-2251702,週一至週五11:00~18:00週六至週日及例假日   10:00~18:00,,自願設置
統一永康總廠,台南市,永康區,鹽行里,中正路,,,301號,,06-2536789,週一至週五08:00~17:00(僅提供員工使用),,自願設置
許石音樂圖書館,台南市,北區,,公園北路,,,3號,,06-2255146#210,週二至週六10:00-20:00 週日10:00-17:00    ,,自願設置
郭綜合醫院婦產科門診,台南市,中西區,水仙里,民生路,2段,,22號,,06-2221111#150小兒科,週一至週五 09:00-21:00  週六 09:00-12:00,,自願設置
陸軍砲兵飛彈學校,台南市,永康區,,中山南路,,,363號,,,24小時開放(僅提供員工使用),,自願設置
陸軍無人機訓練中心,台南市,白河區,內角里,,,,2,,請洽醫護組,僅營區內同仁使用,,自願設置
麻豆區衛生所,台南市,麻豆區,巷口里,興國路,,,11-1號,,06-5722215,週一至週五8:00-17:30(國定假日除外),,自願設置
傑仕堡幼兒園,台南市,安平區,,安平路,,,442號,,06-2411098,週一至週五07:00~16:00 (僅供員工使用) ,,自願設置
善化高中,台南市,善化區,,大成路,,,195號,,06-583-7312 #308王小姐,週一至週五08:00~17:00僅供員工及家屬及研習老師使用(使用向健康中心小姐詢問),,自願設置
善化區衛生所,台南市,善化區,,中山路,,,200號,,06-5837035,8:00-17:30,,自願設置
堤維西交通工業股份有限公司,台南市,安南區,,工業三路,,,27號,,06-2658781#184   廖小姐,24小時開放；僅供廠區員工及洽公人員使用,,自願設置
堤維西交通工業股份有限公司,台南市,安南區,,本田路,2段,,377號,,06-2658781#184   廖小姐,24小時開放；僅供廠區員工及洽公人員使用,,自願設置
堤維西交通工業股份有限公司,台南市,南區,彰南里,新樂路,,,72-2號,,06-2658781#191  黃先生再轉公安總務,24小時開放；僅供廠區員工及洽公人員使用,,自願設置
富邦人壽台南分公司,台南市,中西區,,民生路,二段,,279號,4樓,06-2262718#28317蔡小姐,週一至週五 08:30~17:30(僅開放上班時段),,自願設置
富強鑫精密工業股份有限公司,台南市,關廟區,埤頭里,保東路,,,269號,,06-5950688 #6113林小姐,8:00-17:30；僅供廠區員工使用(僅上班日提供),,自願設置
晶華國際酒店股份有限公司台南分公司(台南晶英酒店),台南市,中西區,小西里,和意路,,,1號,,06-3908088,08:30-22:00(供館內客人及員工使用),,自願設置
森霸電廠(豐德電廠),台南市,山上區,豐德里,隙子口,,,66號,,06-5783333#601林小姐,"24小時開放；
僅供廠區員工及洽公人員使用",,自願設置
港尾國民小學,台南市,麻豆區, 港尾里,,,,港子尾9號,,06-5701341,"週一至週五8:30-17:30
僅限員工使用",,自願設置
無米樂旅遊服務中心,台南市,後壁區,菁寮里,,,,75號,,06-6622725,週二至週日09:00~17:30,,自願設置
詠馨婦產科診所,台南市,北區,,海安路,三段,,340號,,06-2835888,門診時間(僅提供民眾及員工使用),,自願設置
賀建國小,台南市,下營區,賀建里,麻豆寮,,,49號,,06-6891109                 #16陳小姐,週一至週五08:00~16:00,,自願設置
隆田酒廠,台南市,官田區,,中華路,1段,,335號,,06 579 1311,週一至週日09:00~17:00,,自願設置
黑橋牌香腸博物館,台南市,南區,,新忠路,,,2號,,06-2616990#12,9:30-17:30(週一公休)提供員工及民眾使用,,自願設置
新化高工,台南市,新化區,,信義路,,,54號,,06 5903994#2222,週一至週五08:00~17:00僅供員工使用,,自願設置
新化區衛生所,台南市,新化區,豐榮里,健康路,,,143號,,06-5906025,8:00-17:30,,自願設置
新化國小,台南市,新化區,,中山路,,,173號,,06-5902035#885,週一至週五08:00~16:00僅供員工及家屬及研習老師使用(民眾使用向健康中心小姐詢問),,自願設置
新市區農會,台南市,新市區,,復興路,,,1之1號,,06-5899888#273洪小姐,週一至週五08:00~16:30,,自願設置
新市區衛生所,台南市,新市區,,中興街,,,12號,,06-5992504,8:00-17:30,,自願設置
新光人壽保險股份有限公司台南服務中心,台南市,中西區,安海里,民生路,2段,,307號,4樓,06-2235717#222護士,8:30-17:00(僅上班時段，供民眾員工使用),,自願設置
新百祿燕觀光工廠,台南市,南區,,新和路,,,38號,,06-2650924,週二至週五09-12;13-17;週六週日09:00-17:00,,自願設置
